date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:41:59	130390/130390	---M-Z	200	added ('OK')	text/html	etag:%221fd56-632d9a6f-12ab5836d3d0f949;gz%22	https://thewebmax.org/industro/index-2.html	C:/Users/mitta/Downloads/MA%20Industry/thewebmax.org/industro/index-2.html	(from )
09:41:59	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-632713ed-d6412d77fe200a1b;gz%22	https://thewebmax.org/robots.txt		(from )
09:41:59	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-632713ed-d6412d77fe200a1b;gz%22	https://thewebmax.org/industro/images/favicon.ico	C:/Users/mitta/Downloads/MA%20Industry/thewebmax.org/industro/images/favicon.ico	(from https://thewebmax.org/industro/index-2.html)
09:42:00	2635/2635	---M--	200	added ('OK')	image/png	etag:%22a4b-632d9a57-e78d1a5d89a32173;;;%22	https://thewebmax.org/industro/images/favicon.png	C:/Users/mitta/Downloads/MA%20Industry/thewebmax.org/industro/images/favicon.png	(from https://thewebmax.org/industro/index-2.html)
09:42:00	155759/155759	---M-Z	200	added ('OK')	text/css	etag:%222606f-632d9a4b-5368b49391cfa732;gz%22	https://thewebmax.org/industro/css/bootstrap.min.css	C:/Users/mitta/Downloads/MA%20Industry/thewebmax.org/industro/css/bootstrap.min.css	(from https://thewebmax.org/industro/index-2.html)
09:42:00	31005/31005	---M-Z	200	added ('OK')	text/css	etag:%22791d-632d9a4b-6572c5073b9040a6;gz%22	https://thewebmax.org/industro/css/fontawesome/css/font-awesome.min.css	C:/Users/mitta/Downloads/MA%20Industry/thewebmax.org/industro/css/fontawesome/css/font-awesome.min.css	(from https://thewebmax.org/industro/index-2.html)
09:42:00	2930/2930	---M-Z	200	added ('OK')	text/css	etag:%22b72-632d9a4e-3129800a5bf99fbe;gz%22	https://thewebmax.org/industro/css/owl.carousel.min.css	C:/Users/mitta/Downloads/MA%20Industry/thewebmax.org/industro/css/owl.carousel.min.css	(from https://thewebmax.org/industro/index-2.html)
09:42:00	10717/10717	---M-Z	200	added ('OK')	text/css	etag:%2229dd-632d9a4b-7036c0e11a799b25;gz%22	https://thewebmax.org/industro/css/bootstrap-select.min.css	C:/Users/mitta/Downloads/MA%20Industry/thewebmax.org/industro/css/bootstrap-select.min.css	(from https://thewebmax.org/industro/index-2.html)
09:42:01	5228/5228	---M-Z	200	added ('OK')	text/css	etag:%22146c-632d9a4e-4c9a877e7a9c9c9e;gz%22	https://thewebmax.org/industro/css/magnific-popup.min.css	C:/Users/mitta/Downloads/MA%20Industry/thewebmax.org/industro/css/magnific-popup.min.css	(from https://thewebmax.org/industro/index-2.html)
09:42:01	5778/5778	---M-Z	200	added ('OK')	text/css	etag:%221692-632d9a4e-9126d111ac137f17;gz%22	https://thewebmax.org/industro/css/loader.min.css	C:/Users/mitta/Downloads/MA%20Industry/thewebmax.org/industro/css/loader.min.css	(from https://thewebmax.org/industro/index-2.html)
09:42:01	406056/406056	---M-Z	200	added ('OK')	text/css	etag:%2263228-632d9a4f-7819e9b734e49ec8;gz%22	https://thewebmax.org/industro/css/style.css	C:/Users/mitta/Downloads/MA%20Industry/thewebmax.org/industro/css/style.css	(from https://thewebmax.org/industro/index-2.html)
09:42:01	2445/2445	---M-Z	200	added ('OK')	text/css	etag:%2298d-632d9a4b-246d484b47326261;gz%22	https://thewebmax.org/industro/css/flaticon.min.css	C:/Users/mitta/Downloads/MA%20Industry/thewebmax.org/industro/css/flaticon.min.css	(from https://thewebmax.org/industro/index-2.html)
09:42:02	38614/38614	---M-Z	200	added ('OK')	text/css	etag:%2296d6-632d9a4e-796d5633de90e928;gz%22	https://thewebmax.org/industro/css/lc_lightbox.css	C:/Users/mitta/Downloads/MA%20Industry/thewebmax.org/industro/css/lc_lightbox.css	(from https://thewebmax.org/industro/index-2.html)
